original_idx,comment,type_of_hate,target_of_hate,severity_of_hate,silver_explanation,source
34274,দেশ কি উন্নয়ন হইসে ধীরে ধীরে সবাই টের পাবে,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
14896,ইহুদীদের অচিরেই ভয়াবহ হামলা করে পুরো ইসরাইলি ইহুদীদের ধ্বংস করে দেয়া হবে অতিশীঘ্রই হবে তা ইনশাল্লাহ,Religious Hate,Community,Severe,"ধর্মীয় প্রেক্ষাপটে ""ধ্বংস"" ব্যবহার করে নির্দিষ্ট সম্প্রদায়কে প্রতি সাম্প্রদায়িক বিদ্বেষ প্রকাশ এটিকে তীব্র ও গুরুতর মাত্রার ধর্মীয় ঘৃণামূলক বক্তব্য হিসেবে চিহ্নিত করে।",rule-contextual
16922,উইকেটে নিয়ে ৯ ওভারে ৮০ করতে পারে না ওদের দিয়ে কিছু হবে না,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
12626,মিয়ানমার সেনাবাহিনীর জান্তা নিজের দেশের নাগরিকদের ওপর হামলা করছে ঘর বাড়ি জ্বালিয়ে দেয় তখন জনগণের উচিত শিক্ষা দিচ্ছে জান্তা বাহিনী কে জান্তা নিজেই মিয়ানমার কে অস্তিসিল করে থাকে পশ্বিমা দেশ গুলো কেন দায়ী থাকবে,Abusive,Organization,Little to None,"মন্তব্যটিতে ""বাল"" এর মতো আক্রমণাত্মক ও গালিগালাজমূলক ভাষা ব্যবহার করা হয়েছে। এটি একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে মৃদু বা গৌণ মাত্রার বক্তব্য।",rule-contextual
5792,দেশবাসীর রোশন কে চোদেেন,Abusive,Individual,Severe,মন্তব্যটিতে একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে তীব্র ও গুরুতর মাত্রার অশ্লীল শব্দচয়ন ও কুরুচিপূর্ণ ভাষা ব্যবহার করা হয়েছে।,rule-contextual
33623,আমাদের দেশ ছাড়া পৃথিবীর অন্য কোন দেশে এরকম কাকের বাসার দেখা যায় না ধন্যবাদ জানাই এই কাউন্সিলর কে,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
4275,এই মহিলাই এখন সকল তরুণ বেশ্যাদের সর্দার যখন সে চলচিত্রে ঢুকে তখন চলচিত্রের আড়ালে বেশ্যাবৃত্তি করতো যা কেউ জানতো না যখন সে বোট ক্লাবে গিয়ে বেশ্যাবৃত্তির চুক্তি করতে যায় তখন পুরানো চুক্তির বেশ্যাবৃত্তির পাওনা টাকার পরিশোধ নিয়ে তর্কাতর্কির একপর্যায়ে তাকে শ্লীলতাহানির চেষ্টা করা হয় আসলে পরিমনি হলো একজন পেশাদার বেশ্যা যা কেউ জানেই না এই সব বেশ্যার দেওয়া কোন শ্লীলতাহানির মামলা নেওয়া আদালতের উচিত হবে কি না এখন প্রশ্ন আদালতের কাছে কেননা বেশ্যার কোন শ্লীলতাহানি বলে কিছু নেই কারণ তারা প্রতিরাতে টাকার বিনিময়ে শ্লীলতাহানির ঘটনা ঘটান,Abusive,Individual,Severe,"এই বক্তব্যে নির্দিষ্ট ব্যক্তিকে প্রতি ""বেশ্যা"" এর মতো অশ্লীল শব্দচয়ন এটিকে তীব্র ও গুরুতর মাত্রার কুরুচিপূর্ণ মন্তব্য হিসেবে চিহ্নিত করে।",rule-contextual
1466,সাংঘাতিক সাব কৌশলে আমাদের দেশের দৃস্টি সরিয়ে আমেরিকায় নিয়ে যাচ্ছে জনগণ সব বুঝে,Abusive,Individual,Mild,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual
6536,ডিজিটাল মানেি কি বিবাহ ছাড়া বাচ্চা,None,None,Little to None,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা সাধারণভাবে মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual
29870,তোর গুষ্টি কিলায় আর কত নাটক চুদাবি দূর হ তোদের মত ডাইরেক্ট থাকলে তামিমের মত প্লেয়ার কখনই সুযোগ পাবে না সাকিব ফিট না থাকলেও তাকে খেলাবি আর তামিম ফিট থেকেও তাকে আনফিট বলে বিশ্বকাপ থেকে সরিয়ে দিলি তোদের মন কুলাঙ্গার থাকলে কখনই বাংলাদেশ বিশ্বকাপের মত আসরে ভালো কিছু অর্জন করতে পারবে না,Abusive,Individual,Severe,এই মন্তব্যে অশ্লীল ও কুরুচিপূর্ণ ভাষা ব্যবহার করে একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে তীব্র ও গুরুতর মাত্রার আপত্তিকর বক্তব্য প্রকাশ করা হয়েছে।,rule-contextual
16501,দেশের সার্বভৌমত্ব রক্ষায় শুধুমাত্র কোস্টগার্ডের সংখ্যা বৃদ্ধি করলে হবে না তাদের শক্তি সামর্থ্য কৌশলও বৃদ্ধি করা দরকার,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
20949,খাম্বা বিএনপির আবাল হারিকেন পার্টি গুলোকে আর কিছু দিন পর তাদের বাটি চালান করেও খুজে পাওয়া যাবে না,Abusive,Organization,Mild,"এই বক্তব্যে প্রতি ""বাল"", ""গু"" এর মতো অশ্লীল শব্দচয়ন এটিকে মাঝারি মাত্রার কুরুচিপূর্ণ মন্তব্য হিসেবে চিহ্নিত করে।",rule-contextual
395,সন্ত্রাসীর ফাঁসি চাই ফাঁসি না দিলে জনগণের হাতে তুলে দেওয়া হক জনগন সিদ্ধান্ত নিবে,Abusive,Individual,Little to None,"নির্দিষ্ট ব্যক্তিকে উদ্দেশ্যে ""ফাঁসি"" এর মতো অবমাননাকর শব্দ ব্যবহার এই মন্তব্যকে মৃদু বা গৌণ মাত্রার গালিগালাজ হিসেবে চিহ্নিত করে।",rule-contextual
4125,পাকিস্তান ইরানের হুমকি দেয় ভাবা যায়,Abusive,Society,Little to None,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা সামগ্রিকভাবে সমাজ বা জাতির বিরুদ্ধে মৃদু বা গৌণ মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual
32879,দেশের দালাল সিন্ডিকেট কাছে সরকারও অসহায়ওরা সিন্ডিকেট তৈরী করেডাকের নিলামে অংশ নেয়যার কারনে ২ লাখ ৫৮ পর আর কেউ যাতে ডাক না দেয়,Abusive,Organization,Little to None,"মন্তব্যটিতে ""দালাল"" এর মতো আক্রমণাত্মক ভাষা ব্যবহার করে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে লক্ষ্য করা হয়েছে। এটি মৃদু বা গৌণ মাত্রার গালিগালাজমূলক বক্তব্য।",rule-contextual
13218,আমাদের বড় ভাইয়াদের কাছে আমারা এটা আশা করিনি ইনশাল্লাহ আগামীকাল জয় নিশ্চিত ইনশাআল্লাহ,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
12631,বাংলাদেশ থেকে কিছু আওয়ামী লীগ নিলে এই অভাব পুরন হত অবশ্য আওয়ামী লীগের সেই মানদন্ড নেই যোগ্যতা নেই,Political Hate,Organization,Mild,"এই মন্তব্যে ""লীগ"" সম্পর্কিত রাজনৈতিক ঘৃণা প্রকাশ পেয়েছে যেখানে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে আক্রমণের লক্ষ্যবস্তু। তীব্রতা মাঝারি মাত্রার।",rule-contextual
25564,১৫ বছর আগে ফিলিস্তিন মুসলমান নেতানিয়াহু সরকারের বিরুদ্ধে প্রতিবাদ করে আসছিল তখন কই ছিলি,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
7720,উনি কোথায় মূত্র বিসর্জন দিয়ে গেছে এই খবরটা জানালেন না কেন,Abusive,Individual,Mild,মন্তব্যটির সামগ্রিক সুর ও ভাষা একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য নির্দেশ করে।,rule-contextual
4838,বিএনপি রাস্তায় নামতে দেওয়া জবাবে না গুলি করে দেওয়া,Political Hate,Organization,Little to None,"এই মন্তব্যে ""বিএনপি"" সম্পর্কিত রাজনৈতিক ঘৃণা প্রকাশ পেয়েছে যেখানে নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে আক্রমণের লক্ষ্যবস্তু। তীব্রতা মৃদু বা গৌণ মাত্রার।",rule-contextual
3518,খালার বুড়কা কি বাংলাদেশ পর্যন্ত আসবে,Abusive,Individual,Little to None,"এই মন্তব্যের ভাষা ও সুর আক্রমণাত্মক এবং অবমাননাকর, যা একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মৃদু বা গৌণ মাত্রার গালিগালাজমূলক বক্তব্য হিসেবে চিহ্নিত।",rule-contextual
19518,বিজিবি কাছে অণুরোধ এক মানুষ ও যাতে বাংলাদেশে ঢুকতে না পারেযে কোনো মূল্যে আমরা প্রতিহত করব,None,None,Little to None,মন্তব্যকারী সাধারণ বিষয়ে মতামত দিয়েছেন এবং কোনো ঘৃণামূলক বক্তব্য প্রকাশ করেননি।,rule-based
11640,এবার সুষ্ঠু নিরপেক্ষ নির্বাচনের জন্য মার্কিন সরকারের নেয়া সকল দলের অংশগ্রহণ মুলক নির্বাচনের পদক্ষেপে বাংলাদেশের মানুষ খুবই গুরুত্বপূর্ণ বলে মনে করছেন,None,None,Little to None,"বিরুদ্ধে ""সরকার"", ""নির্বাচন"", ""দল"" এর মতো রাজনৈতিক বিদ্বেষমূলক শব্দ ব্যবহার করা হয়েছে। এটি মৃদু বা গৌণ মাত্রার রাজনৈতিক ঘৃণা প্রকাশ করে।",rule-contextual
7633,ওরে বিনা ভোটের চোর প্রধানমত্রী হাসিনা এদেশে এখন কি কোন নির্বাচন আছে তুই কি এদেশে কোন নির্বাচন রাখছির সব তো রাতে করে দিস তোর দলীয় পুলিশলীগ বাহিনী দিয়ে আবার নির্বাচন প্রশ্নবিদ্ধ করছে বিএনপি,Political Hate,Individual,Severe,"মন্তব্যটিতে ""বিএনপি"", ""লীগ"", ""হাসিনা"" উল্লেখ করে রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে। নির্দিষ্ট ব্যক্তিকে লক্ষ্য করে এই তীব্র ও গুরুতর মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য।",rule-contextual
19514,ইনজুরি নাটক করে আর কতজনের সাথে যে এই তামাশা করবে এই পাপন লীগ,Abusive,Individual,Mild,"মন্তব্যটিতে ""লীগ"" এর মতো আক্রমণাত্মক ও গালিগালাজমূলক ভাষা ব্যবহার করা হয়েছে। এটি একটি নির্দিষ্ট ব্যক্তির বিরুদ্ধে মাঝারি মাত্রার বক্তব্য।",rule-contextual
21311,জোরে জোরে জোরে বল শেখ হাসিনা ভোট চোর,Political Hate,Individual,Mild,"রাজনৈতিক প্রেক্ষাপটে ""হাসিনা"", ""ভোট"", ""চোর"" ব্যবহার করে নির্দিষ্ট ব্যক্তিকে প্রতি বিদ্বেষ প্রকাশ এই মন্তব্যকে মাঝারি মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য করে তোলে।",rule-contextual
28420,প্রতিদিন গুম খুন ধর্ষণ ছিনতাই লুটপাট হত্যাআর ভালো লাগে না দেখতে আইনের শাসন প্রতিষ্ঠা নাই পুলিশ প্রশাসন নাকে তেল দিয়ে এসকল অপরাধ দেখে যাচ্ছে আর হাজত খানা ভরতেছে কোনো বিচার নাই,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
2202,যাত্রা বেয়াদব পার্টি,Abusive,Organization,Severe,এই বক্তব্যে ব্যবহৃত ভাষা ও দৃষ্টিভঙ্গি একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে তীব্র ও গুরুতর মাত্রার গালিগালাজমূলক মন্তব্য প্রকাশ করে।,rule-contextual
24574,আগামী নিবাচন ইমরান খান জিতবে ইনশাআল্লাহ,None,None,Little to None,"মন্তব্যটিতে কোনো গালিগালাজ, বিদ্বেষ বা আপত্তিকর বিষয়বস্তু পাওয়া যায়নি বলে এটি নিরপেক্ষ মন্তব্য।",rule-based
30010,ওরা ওখানে বিয়েতে নাচ গান করে আর আমাদের এখানে করলে বলে হারাম,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
3522,ভারত কখনো এটা বাস্তবায়ন হতে দিবে না,Political Hate,Society,Little to None,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে সামগ্রিকভাবে সমাজ বা জাতির বিরুদ্ধে মৃদু বা গৌণ মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual
5837,তপসিল কেন লাগে সরাসরি ঘোষণা দিলেইত হয় যে সরকারি দল আবার নিবাচিত ভোটাভোটির কি প্রয়োজন ভাই,Political Hate,Organization,Mild,"মন্তব্যকারী ""সরকার"", ""ভোট"", ""দল"" এর প্রসঙ্গে সম্পর্কে মাঝারি মাত্রার রাজনৈতিক বিদ্বেষ ও ঘৃণা প্রকাশ করেছেন।",rule-contextual
862,বাংলাদেশি দের দেখে জ্বলছে খুব জলা উচিত তোদের,None,None,Little to None,"এই মন্তব্যে কোনো ঘৃণামূলক, আক্রমণাত্মক বা বৈষম্যমূলক ভাষা নেই, তাই এটি স্বাভাবিক মন্তব্য হিসেবে শ্রেণিবদ্ধ।",rule-based
16400,যত এড তত ডিসলাইক,None,None,Little to None,মন্তব্যটি সাধারণ মতামত প্রকাশ করে এবং এতে কোনো ঘৃণা বা সহিংসতামূলক উপাদান নেই।,rule-based
3773,আওয়ামী লীগ মানেই দুর্নীতিবাজভোট ডাকাত ব্যাংক ডাকাতের ইসলাম বিদ্বেষী নাস্তিক সন্ত্রাসীদের দল,Political Hate,Organization,Severe,"মন্তব্যটিতে ""লীগ"", ""ভোট"", ""দল"" উল্লেখ করে রাজনৈতিক বিদ্বেষ প্রকাশ করা হয়েছে। নির্দিষ্ট সংগঠন বা প্রতিষ্ঠানকে লক্ষ্য করে এই তীব্র ও গুরুতর মাত্রার রাজনৈতিক ঘৃণামূলক বক্তব্য।",rule-contextual
22501,সদরে রোগী গুলো সেবা পায় না,None,None,Little to None,"মন্তব্যটিতে কোনো নির্দিষ্ট ব্যক্তি, গোষ্ঠী বা সম্প্রদায়ের বিরুদ্ধে ঘৃণা বা বিদ্বেষ প্রকাশ পায়নি।",rule-based
14062,পাকিস্তানি আর্মীচিফ জেনঃ কমর জাবেদ বাজওয়া এ ইনফরমেশন দিয়েছে আমেরিকাকে শুধু মাত্র অবসরের পর আশ্রয়ের জন্য,Political Hate,Organization,Little to None,এই মন্তব্যে রাজনৈতিক প্রেক্ষাপটে একটি সংগঠন বা প্রতিষ্ঠানের বিরুদ্ধে মৃদু বা গৌণ মাত্রার বিদ্বেষ ও ঘৃণা প্রকাশ করা হয়েছে।,rule-contextual
33659,যে দেশে নিজের বাক স্বাধীনতা নেই জনগণের ভোটের মৌলিক অধিকার হরন করেছে ১৪ বছর ধরে দেশের জনগণ ভোট দিতে পার না সেই দেশে আবার কিসের বাক স্বাধীনতা ভোট চোর মিথ্যা বাদি দুর্নীতি বাজ আওয়ামীলীগের কুলাংগার,Political Hate,Organization,Severe,"মন্তব্যটিতে 'ভোট চোর', 'মিথ্যা বাদি', 'দুর্নীতি বাজ' এবং 'কুলাংগার' এর মতো শব্দ ব্যবহার করে আওয়ামী লীগকে আক্রমণ করা হয়েছে, যা তীব্র রাজনৈতিক বিদ্বেষমূলক বক্তব্য।",rule-contextual
9189,আমার মতে জাহিদ খান কোন কমেন্ট পড়ে না যদি পড়তো তাহলে এইভাবে কথা বলত না নিজের ভাবে সুপারস্টার ক ছবি হৃদয় কে আমি জানিনা,None,None,Little to None,মন্তব্যটি একজন ব্যক্তির কাজ বা মনোভাব সম্পর্কে সাধারণ মতামত প্রকাশ করে। এতে কোনো বিদ্বেষমূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-based
19831,এরে কামাইল্লা আর কত মিচা কথা কইবি বয়স হইচে এবার ভালো হউ নইলে আমেরিকার ঠেলা বুজস ডিম থেরাপি দিবো,Abusive,Individual,Mild,"মন্তব্যটিতে ব্যক্তিকে উদ্দেশ্য করে হুমকি ('ডিম থেরাপি দিবো') এবং আক্রমণাত্মক ভাষা ব্যবহার করা হয়েছে, যা মাঝারি মাত্রার গালিগালাজমূলক বক্তব্য।",rule-contextual
12970,দেশের এত বড় একটা নিউজ চ্যানেলভিডিও কোয়ালিটি এত নিম্নমানের এটা তো মানা যায়না,None,None,Little to None,এটি একটি নিউজ চ্যানেলের ভিডিও কোয়ালিটি নিয়ে সাধারণ সমালোচনা। এতে কোনো ঘৃণামূলক বা আক্রমণাত্মক ভাষা নেই।,rule-contextual
7377,এ শালারে শালা সেক্রেটারি বানাইছে কে যে কথা বলতে পারে না ঠিকমতো,Abusive,Individual,Mild,"মন্তব্যটিতে একজন ব্যক্তিকে 'শালা' বলে গালি দেওয়া হয়েছে এবং তার যোগ্যতা নিয়ে তাচ্ছিল্য করা হয়েছে, যা মাঝারি মাত্রার ব্যক্তিগত আক্রমণ।",rule-contextual
3965,নারী নির্যাতনের সাথে পুরুষ নির্যাতন ও বাড়ছে,None,None,Little to None,এটি সামাজিক পরিস্থিতি নিয়ে একটি সাধারণ পর্যবেক্ষণ বা মতামত। এতে কোনো নির্দিষ্ট ব্যক্তি বা গোষ্ঠীর প্রতি বিদ্বেষ বা আক্রমণাত্মক বক্তব্য নেই।,rule-contextual
24867,জাতীয় পার্টি হচ্ছে জাতীয় বেইমান এরশাদ কাকুর মতন না দিয়ে শুরু করে আর হ্যাঁ দিয়ে শেষ করে,Political Hate,Organization,Mild,"মন্তব্যটিতে জাতীয় পার্টিকে 'জাতীয় বেইমান' বলে রাজনৈতিকভাবে আক্রমণ করা হয়েছে, যা মাঝারি মাত্রার রাজনৈতিক বিদ্বেষমূলক বক্তব্য।",rule-contextual
34806,রাজনীতি শিখে রাজনীতি করুন,None,None,Little to None,মন্তব্যটিতে একটি সাধারণ পরামর্শ বা মতামত দেওয়া হয়েছে। এতে কোনো গালিগালাজ বা ঘৃণামূলক বক্তব্য নেই।,rule-contextual
28322,সরকার এর নতুন খেলাযাতে সবাই এই দিক নিয়ে ব্যাস্ত থাকে,Political Hate,Organization,Little to None,"মন্তব্যটিতে সরকারের সমালোচনা করা হয়েছে, তবে এতে কোনো আক্রমণাত্মক ভাষা বা তীব্র বিদ্বেষ নেই। এটি মৃদু মাত্রার রাজনৈতিক সমালোচনা।",rule-based
6391,যামু তোকে জুতা মারমু,Abusive,Individual,Mild,"মন্তব্যটিতে সরাসরি শারীরিক আঘাতের হুমকি ('জুতা মারমু') দেওয়া হয়েছে, যা মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য।",rule-contextual
32051,মাগুড়া বাসীর কপালে দুঃখ আছে,None,None,Little to None,মন্তব্যটি একটি নির্দিষ্ট এলাকার মানুষের ভবিষ্যৎ নিয়ে সাধারণ মন্তব্য বা আশঙ্কা প্রকাশ করে। এতে কোনো বিদ্বেষমূলক ভাষা নেই।,rule-contextual
8849,ভুটান চিকেন নেকের কাছে চীনকে জায়গা দিচ্ছে বাংলাদেশের উচিত পঞ্চগড়ের তেতুলিয়ায় চীনকে দিয়ে কিছু প্রজেক্ট বাস্তবায়ন করা সেই সাথে ওরা যদি কোনো গোয়েন্দাগিরি করে কিছু লাভবান হয় তাতে আমাদের ক্ষতি কি,None,None,Little to None,এটি ভূ-রাজনৈতিক বিষয় নিয়ে একটি সাধারণ মতামত বা পরামর্শ। এতে কোনো ঘৃণামূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-contextual
10215,ওরে চুতিয়া আওয়ামী লীগের রিপোর্টার,Political Hate,Individual,Severe,"মন্তব্যটিতে একজন রিপোর্টারকে রাজনৈতিকভাবে চিহ্নিত করে অত্যন্ত অশ্লীল শব্দ ('চুতিয়া') ব্যবহার করে গালি দেওয়া হয়েছে, যা গুরুতর মাত্রার রাজনৈতিক ও ব্যক্তিগত আক্রমণ।",rule-contextual
9603,দালাল টিভি সত্য খবর মানুষের সামনে তুলে দর,Abusive,Organization,Mild,"মন্তব্যটিতে একটি সংবাদমাধ্যমকে 'দালাল' বলে আখ্যায়িত করা হয়েছে, যা মাঝারি মাত্রার আক্রমণাত্মক বক্তব্য।",rule-contextual
19463,জলবায়ূর বারোটা বাজাইয়া তাহারা ভাবিয়াই লইয়াছিল শুধু ভাটির রাষ্ট্রসমূহই ক্ষতিগ্রস্ত হইবে কিন্তু হায় তাহারাই আজ জলবায়ূ পরিবর্তনের ফল ভোগ করিতেছে পাগল ঢিল টি মারিলে পাটকেল টি খাইতে হয় এইটা বুঝি বইয়ে ছাপাইয়া দেয় নাই,None,None,Little to None,মন্তব্যটি জলবায়ু পরিবর্তন ও এর প্রভাব নিয়ে একটি সাধারণ বিশ্লেষণ বা মতামত। এতে কোনো বিদ্বেষমূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-contextual
14661,চোরের জন্য নাটক,Abusive,Individual,Mild,"মন্তব্যটিতে কাউকে 'চোর' বলে আখ্যায়িত করা হয়েছে, যা মাঝারি মাত্রার অবমাননাকর বক্তব্য।",rule-contextual
2400,এই জরিমানার টাকা উসুল করতে ভবিষ্যতে আরো খারাপ খাবার চালাবে,None,None,Little to None,মন্তব্যটি একটি পরিস্থিতি বা প্রতিষ্ঠানের ভবিষ্যৎ কর্মকাণ্ড নিয়ে আশঙ্কা প্রকাশ করে। এতে কোনো আক্রমণাত্মক বা ঘৃণামূলক ভাষা নেই।,rule-based
33228,সব দোষ বানিজ্য মন্ত্রীর খায়তাইতো এই অবস্থা,Political Hate,Individual,Little to None,মন্তব্যটিতে বাণিজ্য মন্ত্রীর সমালোচনা করা হয়েছে। এটি রাজনৈতিক সমালোচনা হলেও এতে তীব্র আক্রমণাত্মক বা গালিগালাজপূর্ণ ভাষা নেই।,rule-contextual
26453,খাদ্য ও স্বাস্থ্য মন্ত্রী যখন হিন্দু তখন আমাদের টাকা সব চলে যাবে ইন্ডিয়া,Religious Hate,Individual,Severe,"মন্তব্যটিতে একজন মন্ত্রীর ধর্মীয় পরিচয় ('হিন্দু') উল্লেখ করে তার বিরুদ্ধে রাষ্ট্রবিরোধী কাজের অভিযোগ আনা হয়েছে, যা গুরুতর ধর্মীয় বিদ্বেষমূলক বক্তব্য।",rule-based
26803,বাংলাদেশে শুধু ফেতনা আর ফেতনা আল্লাহ সবাইকে ফেতনা থেকে রক্ষা করুন আমিন,None,None,Little to None,মন্তব্যটিতে দেশের পরিস্থিতি নিয়ে হতাশা প্রকাশ করা হয়েছে এবং প্রার্থনা করা হয়েছে। এতে কোনো বিদ্বেষমূলক বক্তব্য নেই।,rule-contextual
35186,হে আল্লাহ আমাদের সকলকে মাফ করুন,None,None,Little to None,এটি একটি সাধারণ ধর্মীয় প্রার্থনা। এতে কোনো ঘৃণামূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-based
2244,রায়হান রাফ এর মধ্যে অনেক অহংকার দেখা যাচ্ছে আর তাছাড়া দিঘী যদি একেবারেই কিছু না পারতো এতগুলো পুরস্কার পেত না,None,None,Little to None,মন্তব্যটি বিনোদন জগতের ব্যক্তিদের নিয়ে সাধারণ মতামত ও সমালোচনা প্রকাশ করে। এতে কোনো আক্রমণাত্মক বা বিদ্বেষমূলক ভাষা নেই।,rule-contextual
2648,হে গোল আলু জাতীয় পার্টি তোমারা কিছু সংখ লোক দেশের মানুষের খতি করছৌ তোমাদের মুল্য দিতে হবে,Political Hate,Organization,Mild,"মন্তব্যটিতে জাতীয় পার্টিকে ব্যঙ্গ করে ('গোল আলু') সমালোচনা করা হয়েছে এবং হুমকি ('মুল্য দিতে হবে') দেওয়া হয়েছে, যা মাঝারি মাত্রার রাজনৈতিক বিদ্বেষমূলক বক্তব্য।",rule-contextual
18751,আর কি চাই আমরা,None,None,Little to None,এটি একটি সাধারণ প্রশ্ন বা মন্তব্য। এতে কোনো ঘৃণামূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-based
17584,হতে হাগল হইয়া গেছে,Abusive,Individual,Mild,"মন্তব্যটিতে কাউকে 'পাগল' (হাগল) বলে তাচ্ছিল্য করা হয়েছে, যা হালকা বা মাঝারি মাত্রার অবমাননাকর বক্তব্য।",rule-contextual
16420,কত টাকা নিছে সরকারের থেকে সময় টিভি,Political Hate,Organization,Little to None,মন্তব্যটিতে একটি সংবাদমাধ্যমের বিরুদ্ধে সরকারের কাছ থেকে টাকা নেওয়ার অভিযোগ করা হয়েছে। এটি রাজনৈতিক সমালোচনা হলেও এতে তীব্র আক্রমণাত্মক ভাষা নেই।,rule-based
17330,বালাম ভাই আমি একটা গান দিতেচাই,None,None,Little to None,এটি একটি সাধারণ প্রস্তাব বা মন্তব্য। এতে কোনো বিদ্বেষমূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-based
19901,গাড়ি চলছে অবরোধের সময়ে সাংবাদিকের মিথ্যা খবরে গাড়ি চালাইতে গিয়ে কোন ঘটনা ঘটলে এর দায় সাংবাদিক কেউ নিতে হবে,None,None,Little to None,মন্তব্যটিতে সাংবাদিকদের খবরের বিষয়ে আশঙ্কা ও দায়িত্বের কথা বলা হয়েছে। এতে কোনো ঘৃণামূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-contextual
28797,এই ছাগলের কথার মূল্য নাই সমাজে,Abusive,Individual,Mild,"মন্তব্যটিতে একজনকে 'ছাগল' বলে গালি দেওয়া হয়েছে এবং তাচ্ছিল্য করা হয়েছে, যা মাঝারি মাত্রার ব্যক্তিগত আক্রমণ।",rule-based
25052,রাশিয়ার বক্তব্য পায় পাড়াদিয়ে ঝগড়া করা,None,None,Little to None,মন্তব্যটি রাশিয়ার আন্তর্জাতিক অবস্থান নিয়ে সাধারণ সমালোচনা বা মতামত প্রকাশ করে। এতে কোনো বিদ্বেষমূলক বা আক্রমণাত্মক বক্তব্য নেই।,rule-contextual
3027,এই জারজের বাচ্চা আওয়ামী লীগের সভাপতি শুয়োরের বাচ্চা খানকির পোলা এদের কে ফাঁসি দেওয়া দরকার,Political Hate,Individual,Severe,"মন্তব্যটিতে রাজনৈতিক নেতার বিরুদ্ধে অত্যন্ত অশ্লীল, কুরুচিপূর্ণ এবং অবমাননাকর শব্দ ব্যবহার করা হয়েছে এবং ফাঁসির দাবি করা হয়েছে, যা গুরুতর মাত্রার রাজনৈতিক ও ব্যক্তিগত বিদ্বেষ।",rule-contextual
